mmsi, lat, lon, timestamp, imo, vesseltypeint, vessel name, callsign, length, width
576329000, -5.94559, 12.1555, 1301158491, 9510759, 52, NANA TIDE, YJQCt  , 38, 9
576339000, -5.36248, 12.0852, 1301158264, 7414078, 52, DOMINION SERVICE, YJQIt, 0, 0
576339000, -5.36253, 12.0851, 1301158304, 7414078, 52, DOMINION SERVICE, YJQIt, 0, 0
576339000, -5.36258, 12.085, 1301158344, 7414078, 52, DOMINION SERVICE, YJQIt, 0, 0
576339000, -5.36266, 12.0849, 1301158404, 7414078, 52, DOMINION SERVICE, YJQIt, 0, 0
576339000, -5.36271, 12.0848, 1301158475, 7414078, 52, DOMINION SERVICE, YJQIt, 0, 0
576372000, 3.7637, 8.74329, 1301158334, 9325465, 52, MASLENY TIDE, YJVEw, 0, 0
576399000, -5.43753, 11.739, 1301158124, 9443982, 52, ORTALANO TIDE, YJVKv, 0, 0
576399000, -5.4365, 11.7429, 1301158203, 9443982, 52, ORTALANO TIDE, YJVKv, 0, 0
576399000, -5.43568, 11.7461, 1301158263, 9443982, 52, ORTALANO TIDE, YJVKv, 0, 0
576399000, -5.43503, 11.7486, 1301158314, 9443982, 52, ORTALANO TIDE, YJVKv, 0, 0
576399000, -5.43437, 11.7512, 1301158364, 9443982, 52, ORTALANO TIDE, YJVKv, 0, 0
576399000, -5.43353, 11.7543, 1301158424, 9443982, 52, ORTALANO TIDE, YJVKv, 0, 0
576412000, 4.24516, 7.76358, 1301158293, 9376957, 52, ARIO TIDE, YJVKy, 0, 0
576412000, 4.24505, 7.76356, 1301158343, 9376957, 52, ARIO TIDE, YJVKy, 0, 0
576412000, 4.24497, 7.76354, 1301158373, 9376957, 52, ARIO TIDE, YJVKy, 0, 0
576412000, 4.24488, 7.76357, 1301158412, 9376957, 52, ARIO TIDE, YJVKy, 0, 0
576415000, -5.47054, 11.5265, 1301158149, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576415000, -5.47043, 11.5266, 1301158198, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576415000, -5.47032, 11.5267, 1301158269, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576415000, -5.47026, 11.5267, 1301158318, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576415000, -5.47023, 11.5267, 1301158349, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576415000, -5.4702, 11.5268, 1301158389, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576415000, -5.4702, 11.5268, 1301158489, 9422885, 52, INSTONE TIDE, YJVLs, 0, 0
576422000, -5.33102, 12.1333, 1301158128, 9423982, 52, LEACH TIDE, YJVLt, 0, 0
576422000, -5.33103, 12.1333, 1301158188, 9423982, 52, LEACH TIDE, YJVLt, 0, 0
576422000, -5.33103, 12.1333, 1301158347, 9423982, 52, LEACH TIDE, YJVLt, 0, 0
576422000, -5.33103, 12.1333, 1301158388, 9423982, 52, LEACH TIDE, YJVLt, 0, 0
576423000, -5.4774, 11.9477, 1301158135, 9156890, 0, LELEANTIDE, YJQSu, 21, 8
576423000, -5.47742, 11.9476, 1301158205, 9156890, 0, LELEANTIDE, YJQSu, 21, 8
576423000, -5.47746, 11.9475, 1301158265, 9156890, 0, LELEANTIDE, YJQSu, 21, 8
576423000, -5.47748, 11.9474, 1301158315, 9156890, 0, LELEANTIDE, YJQSu, 21, 8
576423000, -5.47749, 11.9474, 1301158325, 9156890, 0, LELEANTIDE, YJQSu, 21, 8
576426000, 4.1494, 7.50358, 1301158314, 9456305, 40, BOURBON LIBECCIO, YJVLv  , 48, 10
576426000, 4.14938, 7.5036, 1301158365, 9456305, 40, BOURBON LIBECCIO, YJVLv  , 48, 10
576426000, 4.14935, 7.50362, 1301158485, 9456305, 40, BOURBON LIBECCIO, YJVLv  , 48, 10
576443000, -6.48742, 11.017, 1301158144, 875543100, 20, TRANSOCEAN RATHER, YJQFv  , 20, 126
576443000, -6.48742, 11.017, 1301158274, 875543100, 20, TRANSOCEAN RATHER, YJQFv  , 20, 126
576443000, -6.4874, 11.017, 1301158303, 875543100, 20, TRANSOCEAN RATHER, YJQFv  , 20, 126
576443000, -6.48735, 11.0169, 1301158345, 875543100, 20, TRANSOCEAN RATHER, YJQFv  , 20, 126
576467000, -5.69026, 11.7671, 1301158170, 9422976, 52, ERRINGTON TIDE, YJVMv, 0, 0
576467000, -5.69032, 11.7671, 1301158320, 9422976, 52, ERRINGTON TIDE, YJVMv, 0, 0
576467000, -5.69032, 11.7671, 1301158340, 9422976, 52, ERRINGTON TIDE, YJVMv, 0, 0
576467000, -5.69027, 11.7671, 1301158380, 9422976, 52, ERRINGTON TIDE, YJVMv, 0, 0
576472000, -5.27441, 11.85, 1301158154, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27443, 11.8503, 1301158214, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27448, 11.8505, 1301158274, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27449, 11.8505, 1301158293, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27464, 11.8506, 1301158353, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27461, 11.8502, 1301158430, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27456, 11.8502, 1301158439, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576472000, -5.27438, 11.8501, 1301158473, 9422926, 52, STRICKLIN TIDE, YJVMw, 0, 0
576488000, -6.14881, 11.2715, 1301158127, 9556351, 0, VRANA TIDE, YJVNs  , 51, 14
576488000, -6.1488, 11.2715, 1301158167, 9556351, 0, VRANA TIDE, YJVNs  , 51, 14
576488000, -6.1488, 11.2715, 1301158227, 9556351, 0, VRANA TIDE, YJVNs  , 51, 14
576488000, -6.14881, 11.2716, 1301158307, 9556351, 0, VRANA TIDE, YJVNs  , 51, 14
576488000, -6.14882, 11.2715, 1301158336, 9556351, 0, VRANA TIDE, YJVNs  , 51, 14
576488000, -6.14882, 11.2715, 1301158396, 9556351, 0, VRANA TIDE, YJVNs  , 51, 14
576502000, -4.7715, 11.8447, 1301158147, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576502000, -4.77151, 11.8448, 1301158207, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576502000, -4.77147, 11.8448, 1301158275, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576502000, -4.77144, 11.8448, 1301158315, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576502000, -4.77142, 11.8448, 1301158335, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576502000, -4.77141, 11.8448, 1301158386, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576502000, -4.77143, 11.8447, 1301158465, 9429807, 52, BOURBON PONANT, YJVNu, 0, 0
576503000, -4.7867, 11.8355, 1301158096, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576503000, -4.7867, 11.8355, 1301158156, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576503000, -4.78669, 11.8355, 1301158195, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576503000, -4.78671, 11.8355, 1301158226, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576503000, -4.78673, 11.8355, 1301158365, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576503000, -4.78672, 11.8355, 1301158425, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576503000, -4.78671, 11.8355, 1301158435, 9421702, 52, CINDY TIDE, YJVNv, 0, 0
576512000, -5.54064, 12.0319, 1301158143, 9170119, 52, GULF MALLARD, YJRCv, 0, 0
576512000, -5.54053, 12.032, 1301158233, 9170119, 52, GULF MALLARD, YJRCv, 0, 0
576521000, -5.3078, 11.8451, 1301158160, 0, 204, IBINDA TIDE, YJVFu, 0, 0
576521000, -5.30413, 11.8478, 1301158218, 0, 204, IBINDA TIDE, YJVFu, 0, 0
